ObjectNumber,Metadata_Plate,Metadata_Site,Metadata_Tags,Metadata_Well,Category,AreaShape_Area,Intensity_IntegratedIntensity_OrigAGP,Granularity_10_OrigMito
15,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,40152,137.0094312026631,1.8469493395085803
16,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,51239,187.23557073180564,1.4400222691364848
17,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,19685,90.76318110339344,0.2171957918983569
18,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,111647,501.5943292500451,0.0308793738881815
19,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,27096,117.60480848001316,0.827718608217686
20,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,9996,51.92691019130871,0.0841883190860961
21,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,2527,16.953826469369233,1.7297015738397714
22,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,54922,171.7412077924237,0.1358349280454288
23,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,47028,166.74455007724464,1.3693079737178444
24,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,13697,41.75330751435831,1.44919894083445
25,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,9599,31.45387978455983,1.0220386755347148
26,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,1382,5.155947260325775,5.872733136083288
27,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,19626,76.89625481166877,2.576100095112878
28,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,22787,80.65984661900438,0.7731243362697879
29,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,20056,94.460488374345,0.950428585911171
30,MIG-Exp03-CP-40X-bin1X1,5,1h/3h;CellPainting;MIG#Batch2;Unprimed/Unactivated,M08,Untreated,32607,139.60096315131523,1.883945845331484
